	M1	M10	M2	M3	M4	M5	M6	M7	M8	M9	MOC 	NEG1	M11	M12	M13	M14	M15	M16	M17	M19	M20	NEG2
K10536|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	0	0	20.467	4.056	15.184	0	3.041	0	215.676	0	2.025	0	0	0	8.136	0	0	0	0	0
K10542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.48	0	0	0	0	0	0
K10542|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.48	0	0	0	0	0	0
K10563	0	35.862	0	0	106.137	8.274	119.846	1.379	13.789	8.278	1056.172	0	17.856	0	0	3.868	10.314	0	0	0	0	0
K10563|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.692	0	0	0	0	0	0
K10563|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.176	2.038	0	0	0	0	0
K10563|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	35.862	0	0	106.137	8.274	119.846	1.379	13.789	8.278	1056.172	0	17.856	0	0	0	8.276	0	0	0	0	0
K10573	0	0	0	0	4.641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10573|unclassified	0	0	0	0	4.641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10574	0	0	0	0	2.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10574|unclassified	0	0	0	0	2.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10577	0	0	0	0	3.494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10577|unclassified	0	0	0	0	3.494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10580	0	0	0	0	12.411	0	0	0	0	0	0	0	0	0	0	11.29	0	0	0	0	0	0
K10580|unclassified	0	0	0	0	12.411	0	0	0	0	0	0	0	0	0	0	11.29	0	0	0	0	0	0
K10591	0	0	0	0	6.759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10591|unclassified	0	0	0	0	6.759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10609	0	0	0	0	5.578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10609|unclassified	0	0	0	0	5.578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10681	0	13.641	0	0	25.183	9.441	22.035	1.049	19.937	4.197	610.722	0	17.796	0	0	0	23.031	0	0	0	0	0
K10681|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	13.641	0	0	25.183	9.441	22.035	1.049	19.937	4.197	610.722	0	17.796	0	0	0	23.031	0	0	0	0	0
K10682	0	15.075	0	0	50.243	18.428	40.198	11.72	13.42	10.045	739.401	0	25.055	0	0	0	20.123	0	0	0	0	0
K10682|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	15.075	0	0	50.243	18.428	40.198	11.72	13.42	10.045	739.401	0	25.055	0	0	0	20.123	0	0	0	0	0
K10694	0	0	0	0	3.039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10694|unclassified	0	0	0	0	3.039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10696	0	0	0	0	5.977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10696|unclassified	0	0	0	0	5.977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10704	0	0	0	0	11.986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10704|unclassified	0	0	0	0	11.986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10716	0	109.752	0	0	677.502	144.815	566.694	23.921	56.267	70.889	195.317	0	38.797	0	0	0	43.495	0	0	0	0	0
K10716|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	109.752	0	0	677.502	144.815	566.694	23.921	56.267	70.889	195.317	0	38.797	0	0	0	43.495	0	0	0	0	0
K10758	0	0	0	0	11.479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10758|unclassified	0	0	0	0	11.479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10771	0	0	0	0	0	7.692	1.536	3.077	0	0	522.113	0	0	0	0	0	0	0	0	0	0	0
K10771|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	7.692	1.536	3.077	0	0	522.113	0	0	0	0	0	0	0	0	0	0	0
K10773	0	95.088	8.13	6.897	244.401	85.576	324.444	33.582	102.534	52.235	735.462	0	69.023	0	0	10.206	100.725	0	0	0	0	17.026
K10773|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.392	0	0	0	0	0	0
K10773|g__Veillonella.s__Veillonella_parvula	0	95.088	0	0	242.367	85.576	324.444	33.582	102.534	52.235	735.462	0	69.023	0	0	0	100.725	0	0	0	0	0
K10773|unclassified	0	0	8.13	6.897	2.034	0	0	0	0	0	0	0	0	0	0	7.813	0	0	0	0	0	17.026
K10804	0	0	0	0	0	0	4.067	0	0	0	0	0	0	0	0	8.179	0	0	0	0	0	0
K10804|unclassified	0	0	0	0	0	0	4.067	0	0	0	0	0	0	0	0	8.179	0	0	0	0	0	0
K10805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.626	2.471	0	0	0	0	0
K10805|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.626	0	0	0	0	0	0
K10805|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.471	0	0	0	0	0
K10823	0	713.714	0	2.078	2125.209	559.606	4515.141	142.309	281.408	261.809	357.41	0	477.198	0	0	11.074	550.649	0	0	0	2.066	2.077
K10823|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	2.078	0	0	0	0	0	0	0	0	0	0	0	6.237	0	0	0	0	2.066	2.077
K10823|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.837	0	0	0	0	0	0
K10823|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	713.714	0	0	2125.209	559.606	4515.141	142.309	281.408	261.809	357.41	0	477.198	0	0	0	550.649	0	0	0	0	0
K10839	0	0	0	0	3.514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10839|unclassified	0	0	0	0	3.514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10843	0	0	0	1.283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.849	0	0	0
K10843|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	1.283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.849	0	0	0
K10914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.488	0	0	0	0	0	0
K10914|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.488	0	0	0	0	0	0
K10947	0	1834.622	0	0	4317.98	2079.378	4473.447	688.608	1519.104	1622.198	7528.642	0	1023.527	0	0	0	1094.99	0	4.132	0	2.472	0
K10947|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.132	0	0	0
K10947|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.811	0	0	0	0	0
K10947|g__Veillonella.s__Veillonella_parvula	0	1834.622	0	0	4317.98	2079.378	4473.447	688.608	1519.104	1622.198	7494.237	0	1023.527	0	0	0	1086.179	0	0	0	0	0
K10947|unclassified	0	0	0	0	0	0	0	0	0	0	34.406	0	0	0	0	0	0	0	0	0	2.472	0
K10956	0	0	0	5.919	4.443	0	0	0	0	0	0	0	0	0	0	0	5.109	0	0	0	0	0
K10956|unclassified	0	0	0	5.919	4.443	0	0	0	0	0	0	0	0	0	0	0	5.109	0	0	0	0	0
K10960	0	0	0	4.753	0	0	0	0	2.552	0	0	0	0	0	0	10.424	8.094	6.406	0	0	0	0
K10960|unclassified	0	0	0	4.753	0	0	0	0	2.552	0	0	0	0	0	0	10.424	8.094	6.406	0	0	0	0
K10974	0	141.731	0	0	213.188	115.318	254.671	19.086	91.198	45.597	1468.06	0	73.803	0	0	0	59.743	0	0	0	0	0
K10974|g__Veillonella.s__Veillonella_parvula	0	141.731	0	0	213.188	115.318	254.671	19.086	91.198	45.597	1468.06	0	73.803	0	0	0	59.743	0	0	0	0	0
K10984	0	0	0	0	0	0	0	0	0	0	0	0	3.22	0	0	0	0	0	0	0	0	0
K10984|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	3.22	0	0	0	0	0	0	0	0	0
K11022	0	0	0	1.239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11022|unclassified	0	0	0	1.239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11031	0	0	0	0	1.249	0	0	0	0	0	134.126	0	0	0	0	0	0	0	0	0	0	0
K11031|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	1.249	0	0	0	0	0	134.126	0	0	0	0	0	0	0	0	0	0	0
K11041	0	38.707	0	0	102.824	26.698	171.385	5.585	24.444	77.51	1116.465	0	22.339	0	0	0	16.943	0	0	0	0	0
K11041|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	38.707	0	0	102.824	26.698	171.385	5.585	24.444	77.51	1116.465	0	22.339	0	0	0	16.943	0	0	0	0	0
K11065	11.779	253.009	9.022	9.457	2184.475	358.968	1464.856	68.995	122.154	134.562	5820.2	9.724	134.258	0	0	7.11	149.116	0	13.861	0	5.27	0
K11065|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	4.95	0	0	0	0	0	0	0	0	0	0	0	7.11	4.95	0	0	0	0	0
K11065|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	215.799	0	0	2091.084	316.171	1389.941	68.995	94.087	115.818	5777.121	0	124.023	0	0	0	121.392	0	0	0	0	0
K11065|unclassified	11.779	37.21	9.022	4.507	93.391	42.796	74.914	0	28.066	18.744	43.079	9.724	10.234	0	0	0	22.773	0	13.861	0	5.27	0
K11068	0	339.05	0	0	1976.122	433.307	2773.579	166.005	123.819	223.998	1462.73	0	216.72	0	0	8.193	210.728	0	0	0	0	0
K11068|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.193	0	0	0	0	0	0
K11068|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	339.05	0	0	1976.122	433.307	2773.579	166.005	123.819	223.998	1462.73	0	216.72	0	0	0	210.728	0	0	0	0	0
K11070	0	11.865	0	0	51.773	2.967	47.418	2.967	0	4.451	209.879	0	5.873	0	0	0	4.447	0	0	0	0	0
K11070|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	11.865	0	0	51.773	2.967	47.418	2.967	0	4.451	209.879	0	5.873	0	0	0	4.447	0	0	0	0	0
K11072	0	18.164	0	0	44.022	5.671	42.718	0	4.726	10.546	231.283	0	0	0	5.437	0	2.1	0	0	0	0	0
K11072|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	18.164	0	0	44.022	5.671	42.718	0	4.726	10.546	231.283	0	0	0	0	0	2.1	0	0	0	0	0
K11072|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.437	0	0	0	0	0	0	0
K11086	0	0	0	0	4.754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11086|unclassified	0	0	0	0	4.754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11093	0	0	0	0	2.451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11093|unclassified	0	0	0	0	2.451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11096	0	5.271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11096|unclassified	0	5.271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.104	0	0	0	0	0
K11097|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.104	0	0	0	0	0
K11098	0	0	0	0	3.436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11098|unclassified	0	0	0	0	3.436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.947	0	0	4.24	0	1.413	0
K11105|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.947	0	0	4.24	0	1.413	0
K11129	0	6.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11129|unclassified	0	6.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11130	0	0	0	0	0	0	0	8.066	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11130|unclassified	0	0	0	0	0	0	0	8.066	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11144	0	46.371	0	0	238.307	60.223	455.006	11.292	10.034	40.072	948.432	0	31.363	0	0	0	23.734	0	0	0	0	0
K11144|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	46.371	0	0	238.307	60.223	455.006	11.292	10.034	40.072	948.432	0	31.363	0	0	0	23.734	0	0	0	0	0
K11145	0	201.503	0	0	191.544	136.986	366.658	23.361	164.384	71.484	601.307	0	104.265	0	0	0	69.635	0	0	0	0	0
K11145|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	6.969	0	0	44.727	3.484	51.577	3.484	10.453	3.484	305.2	0	3.484	0	0	0	6.957	0	0	0	0	0
K11145|g__Veillonella.s__Veillonella_parvula	0	194.534	0	0	146.816	133.502	315.08	19.877	153.931	68	296.107	0	100.781	0	0	0	62.678	0	0	0	0	0
K11170	0	0	0	0	0	0	0	0	0	1.515	0	0	0	0.902	0	0	0	0	0	0	1.194	0
K11170|unclassified	0	0	0	0	0	0	0	0	0	1.515	0	0	0	0.902	0	0	0	0	0	0	1.194	0
K11175	0	625.19	0	3.817	1692.047	618.59	2179.536	143.445	648	339.156	12728.697	0	313.262	0	0	12.029	361.353	11.411	3.817	0	0	1.908
K11175|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	3.817	0	0	0	0	0	0	0	0	0	0	0	7.634	0	3.778	3.817	0	0	1.908
K11175|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.396	0	0	0	0	0	0
K11175|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	0	0	6.726	0	4.455	2.242	0	0	4.484	0	4.455	0	0	0	8.909	0	0	0	0	0
K11175|g__Veillonella.s__Veillonella_parvula	0	625.19	0	0	1676.749	618.59	2175.082	141.203	648	339.156	12659.305	0	308.808	0	0	0	352.444	7.634	0	0	0	0
K11175|unclassified	0	0	0	0	8.572	0	0	0	0	0	64.908	0	0	0	0	0	0	0	0	0	0	0
K11179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.696	0	0	0	0	0	0
K11179|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.696	0	0	0	0	0	0
K11187	0	0	0	0	24.229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11187|unclassified	0	0	0	0	24.229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11188	0	0	0	0	21.935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11188|unclassified	0	0	0	0	21.935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11189	0	4116.482	0	5.988	5104.994	2638.036	8211.184	835.596	3558.531	1669.053	5345.961	0	1436.058	0	0	5.988	1751.082	0	18.869	0	0	0
K11189|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	5.988	0	0	0	0	0	0	0	0	0	0	0	5.988	0	0	18.869	0	0	0
K11189|g__Veillonella.s__Veillonella_parvula	0	4116.482	0	0	5103.062	2638.036	8211.184	835.596	3558.531	1669.053	5345.961	0	1436.058	0	0	0	1751.082	0	0	0	0	0
K11189|unclassified	0	0	0	0	1.932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11204	0	0	0	0	11.792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11204|unclassified	0	0	0	0	11.792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11247	0	0	0	0	5.377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11247|unclassified	0	0	0	0	5.377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11248	0	0	0	0	7.022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11248|unclassified	0	0	0	0	7.022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11251	7.439	26.421	22.997	72.003	63.123	0	0	0	0	0	0	0	0	5.882	0	20.997	22.081	37.169	0	0	10.167	0
K11251|unclassified	7.439	26.421	22.997	72.003	63.123	0	0	0	0	0	0	0	0	5.882	0	20.997	22.081	37.169	0	0	10.167	0
K11252	10.093	22.349	4.309	30.376	33.155	0	8.522	0	18.625	0	0	0	0	0	0	21.917	23.221	13.751	37.959	0	0	17.816
K11252|unclassified	10.093	22.349	4.309	30.376	33.155	0	8.522	0	18.625	0	0	0	0	0	0	21.917	23.221	13.751	37.959	0	0	17.816
K11253	0	16.523	5.703	21.037	13.909	0	12.564	0	5.066	0	0	0	0	0	1.623	14.183	26.213	16.377	22.822	0	0	0
K11253|unclassified	0	16.523	5.703	21.037	13.909	0	12.564	0	5.066	0	0	0	0	0	1.623	14.183	26.213	16.377	22.822	0	0	0
K11254	0	26.678	24.993	71.873	66.876	0	5.409	0	0	0	0	0	0	0	4.243	32.961	27.84	9.754	21.661	0	15.6	11.882
K11254|unclassified	0	26.678	24.993	71.873	66.876	0	5.409	0	0	0	0	0	0	0	4.243	32.961	27.84	9.754	21.661	0	15.6	11.882
K11263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.324	4.765	3.838	1.198	0	0	2.322
K11263|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.765	3.838	1.198	0	0	0
K11263|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.324	0	0	0	0	0	2.322
K11275	0	0	3.925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.045	0
K11275|unclassified	0	0	3.925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.045	0
K11279	0	0	0	0	3.797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11279|unclassified	0	0	0	0	3.797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11295	0	0	0	0	12.357	0	0	0	8.468	0	0	0	0	0	0	12.96	5.793	0	0	0	0	0
K11295|unclassified	0	0	0	0	12.357	0	0	0	8.468	0	0	0	0	0	0	12.96	5.793	0	0	0	0	0
K11338	0	0	0	0	7.258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11338|unclassified	0	0	0	0	7.258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11339	0	0	0	0	8.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11339|unclassified	0	0	0	0	8.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11342	0	0	0	0	6.249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11342|unclassified	0	0	0	0	6.249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11346	0	0	0	0	7.263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11346|unclassified	0	0	0	0	7.263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11363	0	0	0	0	7.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11363|unclassified	0	0	0	0	7.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11368	0	0	0	0	9.811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11368|unclassified	0	0	0	0	9.811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11382	0	291.104	0	0	350.562	160.047	481.688	45.498	221.16	123.183	236.187	0	95.73	0	0	0	146.633	0	0	0	0	0
K11382|g__Veillonella.s__Veillonella_parvula	0	291.104	0	0	350.562	160.047	481.688	45.498	221.16	123.183	236.187	0	95.73	0	0	0	146.633	0	0	0	0	0
K11428	0	0	0	0	4.645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11428|unclassified	0	0	0	0	4.645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.038	0
K11477|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.038	0
K11594	0	0	0	0	4.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11594|unclassified	0	0	0	0	4.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.747	0	0	0	0	0
K11603|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.747	0	0	0	0	0
K11617	0	6.696	0	0	55.733	6.696	81.371	2.231	1.116	12.277	537.226	0	20.086	0	0	8.909	14.42	0	0	0	0	0
K11617|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.909	0	0	0	0	0	0
K11617|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	6.696	0	0	55.733	6.696	81.371	2.231	1.116	12.277	537.226	0	20.086	0	0	0	14.42	0	0	0	0	0
K11618	0	0	0	0	5.597	1.675	7.498	0	0	0	67.296	0	1.792	0	0	0	9.381	0	0	0	0	0
K11618|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	0	0	5.597	1.675	7.498	0	0	0	67.296	0	1.792	0	0	0	9.381	0	0	0	0	0
K11626	0	0	0	0	1.509	0	0	0	0	0	27.144	0	0.755	0	0	0	0	0	0	0	0	0
K11626|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	1.509	0	0	0	0	0	27.144	0	0.755	0	0	0	0	0	0	0	0	0
K11645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.589	0	0	0	0	0
K11645|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.589	0	0	0	0	0
K11663	0	0	0	0	8.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11663|unclassified	0	0	0	0	8.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11704	0	201.03	0	0	756.901	262.282	1041.237	18.044	85.226	263.426	354.567	0	45.712	0	0	16.83	64.972	0	0	0	0	0
K11704|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.83	0	0	0	0	0	0
K11704|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	201.03	0	0	756.901	262.282	1041.237	18.044	85.226	263.426	354.567	0	45.712	0	0	0	64.972	0	0	0	0	0
K11705	0	168.028	0	0	369.786	109.26	657.846	10.611	58.724	193.333	234.726	0	21.36	0	0	0	23.969	0	0	0	0	0
K11705|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	168.028	0	0	369.786	109.26	657.846	10.611	58.724	193.333	234.726	0	21.36	0	0	0	23.969	0	0	0	0	0
K11708	0	236.618	0	0	637.077	230.818	974.647	25.403	236.554	98.093	0	0	151.229	0	0	0	182.17	0	0	0	0	0
K11708|g__Veillonella.s__Veillonella_parvula	0	236.618	0	0	637.077	230.818	974.647	25.403	236.554	98.093	0	0	151.229	0	0	0	182.17	0	0	0	0	0
K11709	0	310.332	0	0	1067.799	346.47	1470.183	56.915	464.98	179.577	9.988	0	232.635	0	0	0	299.532	0	0	0	0	0
K11709|g__Veillonella.s__Veillonella_parvula	0	310.332	0	0	1067.799	346.47	1470.183	56.915	464.98	179.577	9.988	0	232.635	0	0	0	299.532	0	0	0	0	0
K11710	0	159.785	0	0	584.684	226.238	870.452	42.652	279.072	102.673	1.582	0	135.932	0	0	0	172.368	0	0	0	0	0
K11710|g__Veillonella.s__Veillonella_parvula	0	159.785	0	0	584.684	226.238	870.452	42.652	279.072	102.673	1.582	0	135.932	0	0	0	172.368	0	0	0	0	0
K11717	0	2227.225	0	0	5166.486	2000.645	6188.15	606.181	1977.266	766.749	4795.542	0	1134.906	0	0	12.506	1385.015	0.876	0	0	0	1.751
K11717|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	10.733	5.367	9.802	5.367	0	3.578	699.494	0	3.578	0	0	0	9.837	0	0	0	0	0
K11717|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.751	0.876	0	0	0	1.751
K11717|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.336	1.668	0	0	0	0	0
K11717|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	61.148	0	0	202.941	56.813	315.692	19.517	28.414	40.009	1034.015	0	59.485	0	0	0	65.621	0	0	0	0	0
K11717|g__Veillonella.s__Veillonella_parvula	0	2166.077	0	0	4952.812	1938.465	5862.657	581.297	1948.852	723.162	3062.033	0	1071.843	0	0	0	1306.138	0	0	0	0	0
K11717|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.17	0	0	0	0	0	0
K11720	0	794.614	0	0	2691.844	904.714	3037.812	205.578	925.374	401.835	2317.101	0	462.39	0	0	0	578.195	0	0	0	0	0
K11720|g__Veillonella.s__Veillonella_parvula	0	794.614	0	0	2691.844	904.714	3037.812	205.578	925.374	401.835	2317.101	0	462.39	0	0	0	578.195	0	0	0	0	0
K11733	0	0	0	5.69	0	0	0	0	0	0	0	0	0	0	0	4.291	2.845	1.422	2.845	0	0	2.844
K11733|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	5.69	0	0	0	0	0	0	0	0	0	0	0	1.422	2.845	1.422	2.845	0	0	2.844
K11733|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.869	0	0	0	0	0	0
K11737	0	1770.496	0	2.958	2375.662	753.137	4502.222	370.666	1895.008	729.982	442.044	0	926.555	0	0	11.647	1052.608	0	10.75	0	0	4.855
K11737|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	2.958	0	0	0	0	0	0	0	0	0	0	0	11.647	5.099	0	10.75	0	0	4.855
K11737|g__Veillonella.s__Veillonella_parvula	0	1770.496	0	0	2375.662	753.137	4502.222	370.666	1895.008	729.982	442.044	0	926.555	0	0	0	1047.509	0	0	0	0	0
K11738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.332	0	3.706	0	0	0
